name;Style/IconStyle/Icon/href;longitude;latitude;municipio__id;municipio;uf
"Mineradora: Mineração Taboca S.a. 
Barragem: 189";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-60.0130277777778;-0.789555555555556;1304302;Urucará;AM
"Mineradora: Empresa de Mineração e Pesquisa do Amapá 
Barragem: BARRAGEM DA USINA";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-51.6905833333333;2.32119444444444;1600204;Calçoene;AP
"Mineradora: ORO AMAPA MINERAÇÃO LTDA 
Barragem: REJEITO USINA";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-51.6333333333333;2.28583333333333;1600204;Calçoene;AP
"Mineradora: Zamapá Mineração S.a. 
Barragem: Barragem de Clarificação de Água";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-51.1288888888889;1.00197222222222;1600238;Ferreira Gomes;AP
"Mineradora: Mineração Vila Nova Ltda 
Barragem: Bacuri";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-51.7227777777778;0.3795;1600402;Mazagão;AP
"Mineradora: Mineração Vila Nova Ltda 
Barragem: SAMACA";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-51.8378611111111;0.351611111111111;1600402;Mazagão;AP
"Mineradora: Unamgen Mineração e Metalurgia S.a. 
Barragem: VILA NOVA";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-51.7578088888889;0.401673888888889;1600402;Mazagão;AP
"Mineradora: MINA TUCANO LTDA. 
Barragem: Leste";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-51.8870583333333;0.875675;1600154;Pedra Branca do Amapari;AP
"Mineradora: MINA TUCANO LTDA. 
Barragem: TAP D";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-51.8902777777778;0.840833333333333;1600154;Pedra Branca do Amapari;AP
"Mineradora: Zamin Amapá Mineração S.a. 
Barragem: Mario Cruz";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-51.8745258333333;0.800835833333333;1600154;Pedra Branca do Amapari;AP
"Mineradora: MINA TUCANO LTDA. 
Barragem: North Mill Pond";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-51.7283333333333;0.860611111111111;1600535;Porto Grande;AP
"Mineradora: Cadam S.a. 
Barragem: Barragem da Cava";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-52.3789708333333;-0.897686944444445;1600808;Vitória do Jari;AP
"Mineradora: Cadam S.a. 
Barragem: Barragem do Felipe";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-52.3805833333333;-0.882444444444444;1600808;Vitória do Jari;AP
"Mineradora: Cadam S.a. 
Barragem: Barragem do Muriacá";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-52.3640833333333;-0.893666666666667;1600808;Vitória do Jari;AP
"Mineradora: Cia de Ferro Ligas da Bahia Ferbasa 
Barragem: Medrado 1";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.7672222222222;-10.3141666666667;2901353;Andorinha;BA
"Mineradora: Cia de Ferro Ligas da Bahia Ferbasa 
Barragem: Medrado 2";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.7658333333333;-10.3149166666667;2901353;Andorinha;BA
"Mineradora: Cia de Ferro Ligas da Bahia Ferbasa 
Barragem: Medrado 3";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.7658333333333;-10.3155555555556;2901353;Andorinha;BA
"Mineradora: Fazenda Brasileiro Desenvolvimento Mineral Ltda. 
Barragem: BARRAGEM USINA/CIP - LAGO 1 E 2";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-39.0897222222222;-11.4497222222222;2903276;Barrocas;BA
"Mineradora: Fazenda Brasileiro Desenvolvimento Mineral Ltda. 
Barragem: BARRAGEM USINA/CIP - LAGO 3";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-39.0711958333333;-11.4471338888889;2903276;Barrocas;BA
"Mineradora: Fazenda Brasileiro Desenvolvimento Mineral Ltda. 
Barragem: BARRAGEM USINA/CIP - LAGO 4";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-39.0980555555556;-11.4480555555556;2903276;Barrocas;BA
"Mineradora: Magnesita Mineração S.A. 
Barragem: BACIA DE SEDIMENTO DA USINA DE TRATAMENTO";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-41.7196944444444;-14.2337777777778;2904605;Brumado;BA
"Mineradora: XILOLITE S/A 
Barragem: BARRAGEM DE DEPOSIÇÃO DE LAMA";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-41.6892055555556;-14.0979305555556;2904605;Brumado;BA
"Mineradora: Cia de Ferro Ligas da Bahia Ferbasa 
Barragem: Cava Camarinha";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-40.4251944444444;-10.5456111111111;2906006;Campo Formoso;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Barragem MCSA";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-39.8265833333333;-9.85113888888889;2909901;Curaçá;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Dique 3";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8249166666667;-9.83147222222222;2909901;Curaçá;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 01 - P1C1";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8622966666667;-9.852825;2909901;Curaçá;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 01 - P1C5";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8633438888889;-9.85213;2909901;Curaçá;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA 01 - PIC1A";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8615788888889;-9.85333;2909901;Curaçá;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA01-C12";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.861645;-9.85375916666667;2909901;Curaçá;BA
"Mineradora: Companhia Baiana de Pesquisa Mineral 
Barragem: Barragem de Rejeitos de Irecê";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-41.8394444444444;-11.3119444444444;2914604;Irecê;BA
"Mineradora: ATLANTIC NICKEL MINERACAO LTDA 
Barragem: Barragem Santa Rita";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-39.6971408333333;-14.1891088888889;2915205;Itagibá;BA
"Mineradora: ATLANTIC NICKEL MINERACAO LTDA 
Barragem: Dique Santa Rita";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.6916497222222;-14.1965408333333;2915205;Itagibá;BA
"Mineradora: Jacobina Mineração e Comércio Ltda 
Barragem: Barragem 01";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-40.52575;-11.2436388888889;2917508;Jacobina;BA
"Mineradora: Jacobina Mineração e Comércio Ltda 
Barragem: BARRAGEM 02";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-40.5290833333333;-11.2351111111111;2917508;Jacobina;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: BARAÚNA - PBC1";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8704988888889;-9.87471694444445;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: BARAÚNA - PBC2";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8706447222222;-9.87388083333333;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: BARAÚNA - PBC3";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8715719444444;-9.87495472222222;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Cava Sul";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8714444444444;-9.87147222222222;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: P6C01";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8700669444444;-9.87821;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: P6C02";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8714058333333;-9.87906277777778;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: P6C4";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8701527777778;-9.87694388888889;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA 01 - P1C14";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8657077777778;-9.85697;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA 01 - P1C15";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8666797222222;-9.85315611111111;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 01 - P1C3";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8665358333333;-9.85424583333333;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 01 - P1C4";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8672558333333;-9.85546083333333;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 01 - P1C6";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8649441666667;-9.85305694444444;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 01 - P1C7";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8651108333333;-9.85535277777778;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 01 - P1C8";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8633597222222;-9.85733555555555;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 01 - P1C9";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8627697222222;-9.85580694444444;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 01 P1C2";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8639872222222;-9.8554425;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA 05 - P5C07";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8671697222222;-9.88128888888889;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA 05 - P5C08";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8678744444444;-9.87754388888889;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA 05 - P5C09";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8662025;-9.87986333333333;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 05 - P5C1";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.86517;-9.87948833333333;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 05 - P5C2";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8681688888889;-9.87685777777778;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 05 - P5C3";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8642405555556;-9.88015916666667;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 05 - P5C4";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8689169444444;-9.87520472222222;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 05 - P5C5";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.86882;-9.87887388888889;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 05 - P5XC2";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8652186111111;-9.87565027777778;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: Pilha 05 - XC1";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8645388888889;-9.87721166666667;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA 06 - P6C3";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8723108333333;-9.87825277777778;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA01-C10";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8660969444444;-9.85260472222222;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA01-C11";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8636427777778;-9.85349194444444;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA01-C13";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8649372222222;-9.85637111111111;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA05-C06";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8632319444444;-9.878395;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA05-XC03";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8649658333333;-9.87489694444444;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHA07-C1";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8716186111111;-9.87598777777778;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHASUL - PCS1";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8709019444444;-9.87384472222222;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHASUL - PCS2";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8716597222222;-9.87283694444445;2917706;Jaguarari;BA
"Mineradora: Mineração Caraíba S.a. 
Barragem: PILHASUL - PCS3";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-39.8710308333333;-9.87293888888889;2917706;Jaguarari;BA
